 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
4; C22.19;Proizvodnja drugih izdelkov iz gume;Manufacture of other rubber products; C22.1;
5; C22.190;Proizvodnja drugih izdelkov iz gume;Manufacture of other rubber products; C22.19;
3; C22.2;Proizvodnja plastiènih izdelkov;Manufacture of plastics products; C22;
4; C22.21;Proizvodnja plošè, folij, cevi in profilov iz plastiènih mas;Manufacture of plastic plates, sheets, tubes and profiles; C22.2;
5; C22.210;Proizvodnja plošè, folij, cevi in profilov iz plastiènih mas;Manufacture of plastic plates, sheets, tubes and profiles; C22.21;
4; C22.22;Proizvodnja embalaže iz plastiènih mas;Manufacture of plastic packing goods; C22.2;
5; C22.220;Proizvodnja embalaže iz plastiènih mas;Manufacture of plastic packing goods; C22.22;
4; C22.23;Proizvodnja izdelkov iz plastiènih mas za gradbeništvo;Manufacture of builders’ ware of plastic; C22.2;
5; C22.230;Proizvodnja izdelkov iz plastiènih mas za gradbeništvo;Manufacture of builders’ ware of plastic; C22.23;
4; C22.29;Proizvodnja drugih izdelkov iz plastiènih mas;Manufacture of other plastic products; C22.2;
5; C22.290;Proizvodnja drugih izdelkov iz plastiènih mas;Manufacture of other plastic products; C22.29;
2; C23;Proizvodnja nekovinskih mineralnih izdelkov;Manufacture of other non-metallic mineral products; C;
3; C23.1;Proizvodnja stekla in steklenih izdelkov;Manufacture of glass and glass products; C23;
4; C23.11;Proizvodnja ravnega stekla;Manufacture of flat glass; C23.1;
5; C23.110;Proizvodnja ravnega stekla;Manufacture of flat glass; C23.11;
4; C23.12;Oblikovanje in obdelava ravnega stekla;Shaping and processing of flat glass; C23.1;
5; C23.120;Oblikovanje in obdelava ravnega stekla;Shaping and processing of flat glass; C23.12;
4; C23.13;Proizvodnja votlega stekla;Manufacture of hollow glass; C23.1;
5; C23.130;Proizvodnja votlega stekla;Manufacture of hollow glass; C23.13;
4; C23.14;Proizvodnja steklenih vlaken;Manufacture of glass fibres; C23.1;
5; C23.140;Proizvodnja steklenih vlaken;Manufacture of glass fibres; C23.14;
4; C23.19;Proizvodnja in oblikovanje drugih vrst stekla ter tehniènih steklenih izdelkov;Manufacture and processing of other glass, including technical glassware; C23.1;
5; C23.190;Proizvodnja in oblikovanje drugih vrst stekla ter tehniènih steklenih izdelkov;Manufacture and processing of other glass, including technical glassware; C23.19;
3; C23.2;Proizvodnja ognjevzdržne keramike;Manufacture of refractory products; C23;
4; C23.20;Proizvodnja ognjevzdržne keramike;Manufacture of refractory products; C23.2;
5; C23.200;Proizvodnja ognjevzdržne keramike;Manufacture of refractory products; C23.20;
3; C23.3;Proizvodnja neognjevzdržne gradbene keramike;Manufacture of clay building materials; C23;
4; C23.31;Proizvodnja keramiènih plošèic in oblog;Manufacture of ceramic tiles and flags; C23.3;
5; C23.310;Proizvodnja keramiènih plošèic in oblog;Manufacture of ceramic tiles and flags; C23.31;
4; C23.32;Proizvodnja strešnikov, opeke in drugih gradbenih izdelkov iz žgane gline;Manufacture of bricks, tiles and construction products, in baked clay; C23.3;
5; C23.320;Proizvodnja strešnikov, opeke in drugih gradbenih izdelkov iz žgane gline;Manufacture of bricks, tiles and construction products, in baked clay; C23.32;
3; C23.4;Proizvodnja drugih izdelkov iz keramike in porcelana;Manufacture of other porcelain and ceramic products; C23;
4; C23.41;Proizvodnja gospodinjske in okrasne keramike;Manufacture of ceramic household and ornamental articles; C23.4;
5; C23.410;Proizvodnja gospodinjske in okrasne keramike;Manufacture of ceramic household and ornamental articles; C23.41;
4; C23.42;Proizvodnja sanitarne keramike;Manufacture of ceramic sanitary fixtures; C23.4;
5; C23.420;Proizvodnja sanitarne keramike;Manufacture of ceramic sanitary fixtures; C23.42;
4; C23.43;Proizvodnja izolatorjev in izolacijskih elementov iz keramike;Manufacture of ceramic insulators and insulating fittings; C23.4;
5; C23.430;Proizvodnja izolatorjev in izolacijskih elementov iz keramike;Manufacture of ceramic insulators and insulating fittings; C23.43;
4; C23.44;Proizvodnja druge tehniène keramike;Manufacture of other technical ceramic products; C23.4;
5; C23.440;Proizvodnja druge tehniène keramike;Manufacture of other technical ceramic products; C23.44;
4; C23.49;Proizvodnja drugih keramiènih izdelkov;Manufacture of other ceramic products; C23.4;
5; C23.490;Proizvodnja drugih keramiènih izdelkov;Manufacture of other ceramic products; C23.49;
3; C23.5;Proizvodnja cementa, apna, mavca;Manufacture of cement, lime and plaster; C23;
4; C23.51;Proizvodnja cementa;Manufacture of cement; C23.5;
5; C23.510;Proizvodnja cementa;Manufacture of cement; C23.51;
4; C23.52;Proizvodnja apna in mavca;Manufacture of lime and plaster; C23.5;
5; C23.520;Proizvodnja apna in mavca;Manufacture of lime and plaster; C23.52;
3; C23.6;Proizvodnja izdelkov iz betona, cementa, mavca;Manufacture of articles of concrete, cement and plaster; C23;
4; C23.61;Proizvodnja betonskih izdelkov za gradbeništvo;Manufacture of concrete products for construction purposes; C23.6;
5; C23.610;Proizvodnja betonskih izdelkov za gradbeništvo;Manufacture of concrete products for construction purposes; C23.61;
4; C23.62;Proizvodnja izdelkov iz mavca za gradbeništvo;Manufacture of plaster products for construction purposes; C23.6;
5; C23.620;Proizvodnja izdelkov iz mavca za gradbeništvo;Manufacture of plaster products for construction purposes; C23.62;
4; C23.63;Proizvodnja sveže betonske mešanice;Manufacture of ready-mixed concrete; C23.6;
5; C23.630;Proizvodnja sveže betonske mešanice;Manufacture of ready-mixed concrete; C23.63;
4; C23.64;Proizvodnja malte;Manufacture of mortars; C23.6;
5; C23.640;Proizvodnja malte;Manufacture of mortars; C23.64;
4; C23.65;Proizvodnja izdelkov iz vlaknatega cementa;Manufacture of fibre cement; C23.6;
5; C23.650;Proizvodnja izdelkov iz vlaknatega cementa;Manufacture of fibre cement; C23.65;
4; C23.69;Proizvodnja drugih izdelkov iz betona, cementa, mavca;Manufacture of other articles of concrete, plaster and cement; C23.6;
5; C23.690;Proizvodnja drugih izdelkov iz betona, cementa, mavca;Manufacture of other articles of concrete, plaster and cement; C23.69;
3; C23.7;Obdelava naravnega kamna;Cutting, shaping and finishing of stone; C23;
4; C23.70;Obdelava naravnega kamna;Cutting, shaping and finishing of stone; C23.7;
5; C23.700;Obdelava naravnega kamna;Cutting, shaping and finishing of stone; C23.70;
