 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
4; F43.34;Steklarska in pleskarska dela;Painting and glazing; F43.3;
5; F43.341;Steklarska dela;Glazing; F43.34;
5; F43.342;Pleskarska dela;Painting; F43.34;
4; F43.39;Druga zakljuèna gradbena dela;Other building completion and finishing; F43.3;
5; F43.390;Druga zakljuèna gradbena dela;Other building completion and finishing; F43.39;
3; F43.9;Krovstvo in druga specializirana gradbena dela;Other specialised construction activities; F43;
4; F43.91;Postavljanje ostrešij in krovska dela;Roofing activities; F43.9;
5; F43.910;Postavljanje ostrešij in krovska dela;Roofing activities; F43.91;
4; F43.99;Druga specializirana gradbena dela;Other specialised construction activities n.e.c.; F43.9;
5; F43.990;Druga specializirana gradbena dela;Other specialised construction activities n.e.c.; F43.99;
1; G;TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES; ;
2; G45;Trgovina z motornimi vozili in popravila motornih vozil;Wholesale and retail trade and repair of motor vehicles and motorcycles; G;
3; G45.1;Trgovina z motornimi vozili;Sale of motor vehicles; G45;
4; G45.11;Trgovina z avtomobili in lahkimi motornimi vozili;Sale of cars and light motor vehicles; G45.1;
5; G45.110;Trgovina z avtomobili in lahkimi motornimi vozili;Sale of cars and light motor vehicles; G45.11;
4; G45.19;Trgovina z drugimi motornimi vozili;Sale of other motor vehicles; G45.1;
5; G45.190;Trgovina z drugimi motornimi vozili;Sale of other motor vehicles; G45.19;
3; G45.2;Vzdrževanje in popravila motornih vozil;Maintenance and repair of motor vehicles; G45;
4; G45.20;Vzdrževanje in popravila motornih vozil;Maintenance and repair of motor vehicles; G45.2;
5; G45.200;Vzdrževanje in popravila motornih vozil;Maintenance and repair of motor vehicles; G45.20;
3; G45.3;Trgovina z rezervnimi deli in opremo za motorna vozila;Sale of motor vehicle parts and accessories; G45;
4; G45.31;Trgovina na debelo z rezervnimi deli in opremo za motorna vozila;Wholesale trade of motor vehicle parts and accessories; G45.3;
5; G45.310;Trgovina na debelo z rezervnimi deli in opremo za motorna vozila;Wholesale trade of motor vehicle parts and accessories; G45.31;
4; G45.32;Trgovina na drobno z rezervnimi deli in opremo za motorna vozila;Retail trade of motor vehicle parts and accessories; G45.3;
5; G45.320;Trgovina na drobno z rezervnimi deli in opremo za motorna vozila;Retail trade of motor vehicle parts and accessories; G45.32;
3; G45.4;Trgovina, vzdrževanje in popravila motornih koles, trgovina z njihovimi deli in opremo;Sale, maintenance and repair of motorcycles and related parts and accessories; G45;
4; G45.40;Trgovina, vzdrževanje in popravila motornih koles, trgovina z njihovimi deli in opremo;Sale, maintenance and repair of motorcycles and related parts and accessories; G45.4;
5; G45.400;Trgovina, vzdrževanje in popravila motornih koles, trgovina z njihovimi deli in opremo;Sale, maintenance and repair of motorcycles and related parts and accessories; G45.40;
2; G46;Posredništvo in trgovina na debelo, razen z motornimi vozili;Wholesale trade, except of motor vehicles and motorcycles; G;
3; G46.1;Posredništvo;Wholesale on a fee or contract basis; G46;
4; G46.11;Posredništvo pri prodaji kmetijskih surovin, živih živali, tekstilnih surovin, polizdelkov;Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods; G46.1;
5; G46.110;Posredništvo pri prodaji kmetijskih surovin, živih živali, tekstilnih surovin, polizdelkov;Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods; G46.11;
4; G46.12;Posredništvo pri prodaji goriv, rud, kovin, tehniènih kemikalij;Agents involved in the sale of fuels, ores, metals and industrial chemicals; G46.1;
5; G46.120;Posredništvo pri prodaji goriv, rud, kovin, tehniènih kemikalij;Agents involved in the sale of fuels, ores, metals and industrial chemicals; G46.12;
4; G46.13;Posredništvo pri prodaji lesa in gradbenega materiala;Agents involved in the sale of timber and building materials; G46.1;
5; G46.130;Posredništvo pri prodaji lesa in gradbenega materiala;Agents involved in the sale of timber and building materials; G46.13;
4; G46.14;Posredništvo pri prodaji strojev, industrijske opreme, ladij, letal;Agents involved in the sale of machinery, industrial equipment, ships and aircraft; G46.1;
5; G46.140;Posredništvo pri prodaji strojev, industrijske opreme, ladij, letal;Agents involved in the sale of machinery, industrial equipment, ships and aircraft; G46.14;
4; G46.15;Posredništvo pri prodaji pohištva, predmetov in naprav za gospodinjstvo in železnine;Agents involved in the sale of furniture, household goods, hardware and ironmongery; G46.1;
5; G46.150;Posredništvo pri prodaji pohištva, predmetov in naprav za gospodinjstvo in železnine;Agents involved in the sale of furniture, household goods, hardware and ironmongery; G46.15;
4; G46.16;Posredništvo pri prodaji tekstila, oblaèil, krzna, obutve, usnjenih izdelkov;Agents involved in the sale of textiles, clothing, fur, footwear and leather goods; G46.1;
5; G46.160;Posredništvo pri prodaji tekstila, oblaèil, krzna, obutve, usnjenih izdelkov;Agents involved in the sale of textiles, clothing, fur, footwear and leather goods; G46.16;
4; G46.17;Posredništvo pri prodaji živil, pijaè, tobaènih izdelkov;Agents involved in the sale of food, beverages and tobacco; G46.1;
5; G46.170;Posredništvo pri prodaji živil, pijaè, tobaènih izdelkov;Agents involved in the sale of food, beverages and tobacco; G46.17;
4; G46.18;Specializirano posredništvo pri prodaji drugih doloèenih izdelkov;Agents specialised in the sale of other particular products; G46.1;
5; G46.180;Specializirano posredništvo pri prodaji drugih doloèenih izdelkov;Agents specialised in the sale of other particular products; G46.18;
4; G46.19;Nespecializirano posredništvo pri prodaji raznovrstnih izdelkov;Agents involved in the sale of a variety of goods; G46.1;
5; G46.190;Nespecializirano posredništvo pri prodaji raznovrstnih izdelkov;Agents involved in the sale of a variety of goods; G46.19;
3; G46.2;Trgovina na debelo s kmetijskimi surovinami in živimi živalmi;Wholesale of agricultural raw materials and live animals; G46;
4; G46.21;Trgovina na debelo z žiti, tobakom, semeni in krmo;Wholesale of grain, unmanufactured tobacco, seeds and animal feeds; G46.2;
5; G46.210;Trgovina na debelo z žiti, tobakom, semeni in krmo;Wholesale of grain, unmanufactured tobacco, seeds and animal feeds; G46.21;
4; G46.22;Trgovina na debelo s cvetjem in rastlinami;Wholesale of flowers and plants; G46.2;
5; G46.220;Trgovina na debelo s cvetjem in rastlinami;Wholesale of flowers and plants; G46.22;
4; G46.23;Trgovina na debelo z živimi živalmi;Wholesale of live animals; G46.2;
5; G46.230;Trgovina na debelo z živimi živalmi;Wholesale of live animals; G46.23;
4; G46.24;Trgovina na debelo s kožami, usnjem;Wholesale of hides, skins and leather; G46.2;
5; G46.240;Trgovina na debelo s kožami, usnjem;Wholesale of hides, skins and leather; G46.24;
3; G46.3;Trgovina na debelo z živili, pijaèami, tobaènimi izdelki;Wholesale of food, beverages and tobacco; G46;
4; G46.31;Trgovina na debelo s sadjem in zelenjavo;Wholesale of fruit and vegetables; G46.3;
5; G46.310;Trgovina na debelo s sadjem in zelenjavo;Wholesale of fruit and vegetables; G46.31;
4; G46.32;Trgovina na debelo z mesom in mesnimi izdelki;Wholesale of meat and meat products; G46.3;
5; G46.320;Trgovina na debelo z mesom in mesnimi izdelki;Wholesale of meat and meat products; G46.32;
4; G46.33;Trgovina na debelo z mlekom, mleènimi izdelki, jajci, jedilnimi olji in mašèobami;Wholesale of dairy products, eggs and edible oils and fats; G46.3;
5; G46.330;Trgovina na debelo z mlekom, mleènimi izdelki, jajci, jedilnimi olji in mašèobami;Wholesale of dairy products, eggs and edible oils and fats; G46.33;
4; G46.34;Trgovina na debelo s pijaèami;Wholesale of beverages; G46.3;
5; G46.340;Trgovina na debelo s pijaèami;Wholesale of beverages; G46.34;
4; G46.35;Trgovina na debelo s tobaènimi izdelki;Wholesale of tobacco products; G46.3;
5; G46.350;Trgovina na debelo s tobaènimi izdelki;Wholesale of tobacco products; G46.35;
4; G46.36;Trgovina na debelo s sladkorjem, èokolado, sladkornimi izdelki;Wholesale of sugar and chocolate and sugar confectionery; G46.3;
5; G46.360;Trgovina na debelo s sladkorjem, èokolado, sladkornimi izdelki;Wholesale of sugar and chocolate and sugar confectionery; G46.36;
4; G46.37;Trgovina na debelo s kavo, èajem, kakavom, zaèimbami;Wholesale of coffee, tea, cocoa and spices; G46.3;
5; G46.370;Trgovina na debelo s kavo, èajem, kakavom, zaèimbami;Wholesale of coffee, tea, cocoa and spices; G46.37;
4; G46.38;Trgovina na debelo z drugimi živili, tudi z ribami, raki, mehkužci;Wholesale of other food, including fish, crustaceans and molluscs; G46.3;
5; G46.380;Trgovina na debelo z drugimi živili, tudi z ribami, raki, mehkužci;Wholesale of other food, including fish, crustaceans and molluscs; G46.38;
4; G46.39;Nespecializirana trgovina na debelo z živili, pijaèami, tobaènimi izdelki;Non-specialised wholesale of food, beverages and tobacco; G46.3;
5; G46.390;Nespecializirana trgovina na debelo z živili, pijaèami, tobaènimi izdelki;Non-specialised wholesale of food, beverages and tobacco; G46.39;
3; G46.4;Trgovina na debelo z izdelki za široko rabo;Wholesale of household goods; G46;
4; G46.41;Trgovina na debelo s tekstilom;Wholesale of textiles; G46.4;
5; G46.410;Trgovina na debelo s tekstilom;Wholesale of textiles; G46.41;
4; G46.42;Trgovina na debelo z oblaèili in obutvijo;Wholesale of clothing and footwear; G46.4;
5; G46.420;Trgovina na debelo z oblaèili in obutvijo;Wholesale of clothing and footwear; G46.42;
4; G46.43;Trgovina na debelo z elektriènimi gospodinjskimi napravami;Wholesale of electrical household appliances; G46.4;
5; G46.430;Trgovina na debelo z elektriènimi gospodinjskimi napravami;Wholesale of electrical household appliances; G46.43;
4; G46.44;Trgovina na debelo s porcelanom, steklenino, èistili;Wholesale of china and glassware and cleaning materials; G46.4;
5; G46.440;Trgovina na debelo s porcelanom, steklenino, èistili;Wholesale of china and glassware and cleaning materials; G46.44;
4; G46.45;Trgovina na debelo s parfumi in kozmetiko;Wholesale of perfume and cosmetics; G46.4;
5; G46.450;Trgovina na debelo s parfumi in kozmetiko;Wholesale of perfume and cosmetics; G46.45;
4; G46.46;Trgovina na debelo s farmacevtskimi izdelki ter medicinskimi potrebšèinami in materiali;Wholesale of pharmaceutical goods; G46.4;
5; G46.460;Trgovina na debelo s farmacevtskimi izdelki ter medicinskimi potrebšèinami in materiali;Wholesale of pharmaceutical goods; G46.46;
4; G46.47;Trgovina na debelo s pohištvom, preprogami in svetili;Wholesale of furniture, carpets and lighting equipment; G46.4;
5; G46.470;Trgovina na debelo s pohištvom, preprogami in svetili;Wholesale of furniture, carpets and lighting equipment; G46.47;
4; G46.48;Trgovina na debelo z urami in nakitom;Wholesale of watches and jewellery; G46.4;
5; G46.480;Trgovina na debelo z urami in nakitom;Wholesale of watches and jewellery; G46.48;
4; G46.49;Trgovina na debelo z drugimi izdelki široke porabe;Wholesale of other household goods; G46.4;
5; G46.490;Trgovina na debelo z drugimi izdelki široke porabe;Wholesale of other household goods; G46.49;
3; G46.5;Trgovina na debelo z napravami za informacijsko-komunikacijsko tehnologijo;Wholesale of information and communication equipment; G46;
4; G46.51;Trgovina na debelo z raèunalniškimi napravami;Wholesale of computers, computer peripheral equipment and software; G46.5;
5; G46.510;Trgovina na debelo z raèunalniškimi napravami;Wholesale of computers, computer peripheral equipment and software; G46.51;
4; G46.52;Trgovina na debelo z elektronskimi in telekomunikacijskimi napravami in deli;Wholesale of electronic and telecommunications equipment and parts; G46.5;
5; G46.520;Trgovina na debelo z elektronskimi in telekomunikacijskimi napravami in deli;Wholesale of electronic and telecommunications equipment and parts; G46.52;
3; G46.6;Trgovina na debelo s stroji, napravami, opremo;Wholesale of other machinery, equipment and supplies; G46;
4; G46.61;Trgovina na debelo s kmetijskimi stroji, prikljuèki, opremo;Wholesale of agricultural machinery, equipment and supplies; G46.6;
5; G46.610;Trgovina na debelo s kmetijskimi stroji, prikljuèki, opremo;Wholesale of agricultural machinery, equipment and supplies; G46.61;
4; G46.62;Trgovina na debelo z obdelovalnimi stroji;Wholesale of machine tools; G46.6;
5; G46.620;Trgovina na debelo z obdelovalnimi stroji;Wholesale of machine tools; G46.62;
4; G46.63;Trgovina na debelo z rudarskimi in gradbenimi stroji;Wholesale of mining, construction and civil engineering machinery; G46.6;
5; G46.630;Trgovina na debelo z rudarskimi in gradbenimi stroji;Wholesale of mining, construction and civil engineering machinery; G46.63;
4; G46.64;Trgovina na debelo s stroji za tekstilno industrijo;Wholesale of machinery for the textile industry and of sewing and knitting machines; G46.6;
5; G46.640;Trgovina na debelo s stroji za tekstilno industrijo;Wholesale of machinery for the textile industry and of sewing and knitting machines; G46.64;
4; G46.65;Trgovina na debelo s pisarniškim pohištvom;Wholesale of office furniture; G46.6;
5; G46.650;Trgovina na debelo s pisarniškim pohištvom;Wholesale of office furniture; G46.65;
4; G46.66;Trgovina na debelo s pisarniškimi stroji in opremo;Wholesale of other office machinery and equipment; G46.6;
5; G46.660;Trgovina na debelo s pisarniškimi stroji in opremo;Wholesale of other office machinery and equipment; G46.66;
4; G46.69;Trgovina na debelo z drugimi napravami in opremo;Wholesale of other machinery and equipment; G46.6;
5; G46.690;Trgovina na debelo z drugimi napravami in opremo;Wholesale of other machinery and equipment; G46.69;
3; G46.7;Druga specializirana trgovina na debelo;Other specialised wholesale; G46;
4; G46.71;Trgovina na debelo s trdimi, tekoèimi in plinastimi gorivi;Wholesale of solid, liquid and gaseous fuels and related products; G46.7;
5; G46.710;Trgovina na debelo s trdimi, tekoèimi in plinastimi gorivi;Wholesale of solid, liquid and gaseous fuels and related products; G46.71;
4; G46.72;Trgovina na debelo s kovinami in rudami;Wholesale of metals and metal ores; G46.7;
5; G46.720;Trgovina na debelo s kovinami in rudami;Wholesale of metals and metal ores; G46.72;
4; G46.73;Trgovina na debelo z lesom, gradbenim materialom in sanitarno opremo;Wholesale of wood, construction materials and sanitary equipment; G46.7;
5; G46.730;Trgovina na debelo z lesom, gradbenim materialom in sanitarno opremo;Wholesale of wood, construction materials and sanitary equipment; G46.73;
4; G46.74;Trgovina na debelo s kovinskimi proizvodi, inštalacijskim materialom, napravami za ogrevanje;Wholesale of hardware, plumbing and heating equipment and supplies; G46.7;
5; G46.740;Trgovina na debelo s kovinskimi proizvodi, inštalacijskim materialom, napravami za ogrevanje;Wholesale of hardware, plumbing and heating equipment and supplies; G46.74;
4; G46.75;Trgovina na debelo s kemiènimi izdelki;Wholesale of chemical products; G46.7;
5; G46.750;Trgovina na debelo s kemiènimi izdelki;Wholesale of chemical products; G46.75;
4; G46.76;Trgovina na debelo z drugimi polizdelki;Wholesale of other intermediate products; G46.7;
5; G46.760;Trgovina na debelo z drugimi polizdelki;Wholesale of other intermediate products; G46.76;
4; G46.77;Trgovina na debelo z ostanki in odpadki;Wholesale of waste and scrap; G46.7;
5; G46.770;Trgovina na debelo z ostanki in odpadki;Wholesale of waste and scrap; G46.77;
3; G46.9;Nespecializirana trgovina na debelo;Non-specialised wholesale trade; G46;
4; G46.90;Nespecializirana trgovina na debelo;Non-specialised wholesale trade; G46.9;
5; G46.900;Nespecializirana trgovina na debelo;Non-specialised wholesale trade; G46.90;
2; G47;Trgovina na drobno, razen z motornimi vozili;Retail trade, except of motor vehicles and motorcycles; G;
3; G47.1;Trgovina na drobno v nespecializiranih prodajalnah;Retail sale in non-specialised stores; G47;
4; G47.11;Trgovina na drobno v nespecializiranih prodajalnah, pretežno z živili;Retail sale in non-specialised stores with food, beverages or tobacco predominating; G47.1;
5; G47.110;Trgovina na drobno v nespecializiranih prodajalnah, pretežno z živili;Retail sale in non-specialised stores with food, beverages or tobacco predominating; G47.11;
4; G47.19;Druga trgovina na drobno v nespecializiranih prodajalnah;Other retail sale in non-specialised stores; G47.1;
5; G47.190;Druga trgovina na drobno v nespecializiranih prodajalnah;Other retail sale in non-specialised stores; G47.19;
3; G47.2;Trgovina na drobno v specializiranih prodajalnah z živili, pijaèami in tobaènimi izdelki;Retail sale of food, beverages and tobacco in specialised stores; G47;
4; G47.21;Trgovina na drobno v specializiranih prodajalnah s sadjem in zelenjavo;Retail sale of fruit and vegetables in specialised stores; G47.2;
5; G47.210;Trgovina na drobno v specializiranih prodajalnah s sadjem in zelenjavo;Retail sale of fruit and vegetables in specialised stores; G47.21;
4; G47.22;Trgovina na drobno v specializiranih prodajalnah z mesom in mesnimi izdelki;Retail sale of meat and meat products in specialised stores; G47.2;
5; G47.220;Trgovina na drobno v specializiranih prodajalnah z mesom in mesnimi izdelki;Retail sale of meat and meat products in specialised stores; G47.22;
4; G47.23;Trgovina na drobno v specializiranih prodajalnah z ribami, raki, mehkužci;Retail sale of fish, crustaceans and molluscs in specialised stores; G47.2;
5; G47.230;Trgovina na drobno v specializiranih prodajalnah z ribami, raki, mehkužci;Retail sale of fish, crustaceans and molluscs in specialised stores; G47.23;
4; G47.24;Trgovina na drobno v specializiranih prodajalnah s kruhom, pecivom, testeninami, sladkornimi izdelki;Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores; G47.2;
5; G47.240;Trgovina na drobno v specializiranih prodajalnah s kruhom, pecivom, testeninami, sladkornimi izdelki;Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores; G47.24;
4; G47.25;Trgovina na drobno v specializiranih prodajalnah s pijaèami;Retail sale of beverages in specialised stores; G47.2;
5; G47.250;Trgovina na drobno v specializiranih prodajalnah s pijaèami;Retail sale of beverages in specialised stores; G47.25;
4; G47.26;Trgovina na drobno v specializiranih prodajalnah s tobaènimi izdelki;Retail sale of tobacco products in specialised stores; G47.2;
5; G47.260;Trgovina na drobno v specializiranih prodajalnah s tobaènimi izdelki;Retail sale of tobacco products in specialised stores; G47.26;
4; G47.29;Druga trgovina na drobno v specializiranih prodajalnah z živili;Other retail sale of food in specialised stores; G47.2;
5; G47.290;Druga trgovina na drobno v specializiranih prodajalnah z živili;Other retail sale of food in specialised stores; G47.29;
3; G47.3;Trgovina na drobno v specializiranih prodajalnah z motornimi gorivi;Retail sale of automotive fuel in specialised stores; G47;
4; G47.30;Trgovina na drobno v specializiranih prodajalnah z motornimi gorivi;Retail sale of automotive fuel in specialised stores; G47.3;
5; G47.301;Trgovina na drobno z lastnimi motornimi gorivi;Retail sale of own automotive fuel in specialised stores; G47.30;
5; G47.302;Posredništvo pri prodaji motornih goriv na drobno;Agents involved in retail sale of automotive fuel in specialised stores; G47.30;
3; G47.4;Trgovina na drobno v specializiranih prodajalnah z raèunalniškimi, komunikacijskimi, avdio in video napravami;Retail sale of information and communication equipment in specialised stores; G47;
4; G47.41;Trgovina na drobno v specializiranih prodajalnah z raèunalniškimi napravami in programi;Retail sale of computers, peripheral units and software in specialised stores; G47.4;
5; G47.410;Trgovina na drobno v specializiranih prodajalnah z raèunalniškimi napravami in programi;Retail sale of computers, peripheral units and software in specialised stores; G47.41;
4; G47.42;Trgovina na drobno v specializiranih prodajalnah s telekomunikacijskimi napravami;Retail sale of telecommunications equipment in specialised stores; G47.4;
5; G47.420;Trgovina na drobno v specializiranih prodajalnah s telekomunikacijskimi napravami;Retail sale of telecommunications equipment in specialised stores; G47.42;
4; G47.43;Trgovina na drobno v specializiranih prodajalnah z avdio in video napravami;Retail sale of audio and video equipment in specialised stores; G47.4;
5; G47.430;Trgovina na drobno v specializiranih prodajalnah z avdio in video napravami;Retail sale of audio and video equipment in specialised stores; G47.43;
3; G47.5;Trgovina na drobno v specializiranih prodajalnah z drugo gospodinjsko opremo;Retail sale of other household equipment in specialised stores; G47;
4; G47.51;Trgovina na drobno v specializiranih prodajalnah s tekstilom;Retail sale of textiles in specialised stores; G47.5;
5; G47.510;Trgovina na drobno v specializiranih prodajalnah s tekstilom;Retail sale of textiles in specialised stores; G47.51;
4; G47.52;Trgovina na drobno v specializiranih prodajalnah z gradbenim materialom, kovinskimi izdelki, barvami in steklom;Retail sale of hardware, paints and glass in specialised stores; G47.5;
5; G47.520;Trgovina na drobno v specializiranih prodajalnah z gradbenim materialom, kovinskimi izdelki, barvami in steklom;Retail sale of hardware, paints and glass in specialised stores; G47.52;
4; G47.53;Trgovina na drobno v specializiranih prodajalnah s preprogami, talnimi in stenskimi oblogami;Retail sale of carpets, rugs, wall and floor coverings in specialised stores; G47.5;
5; G47.530;Trgovina na drobno v specializiranih prodajalnah s preprogami, talnimi in stenskimi oblogami;Retail sale of carpets, rugs, wall and floor coverings in specialised stores; G47.53;
4; G47.54;Trgovina na drobno v specializiranih prodajalnah z elektriènimi gospodinjskimi napravami;Retail sale of electrical household appliances in specialised stores; G47.5;
5; G47.540;Trgovina na drobno v specializiranih prodajalnah z elektriènimi gospodinjskimi napravami;Retail sale of electrical household appliances in specialised stores; G47.54;
4; G47.59;Trgovina na drobno v specializiranih prodajalnah s pohištvom, svetili in drugje nerazvršèenimi predmeti za gospodinjstvo;Retail sale of furniture, lighting equipment and other household articles in specialised stores; G47.5;
5; G47.590;Trgovina na drobno v specializiranih prodajalnah s pohištvom, svetili in drugje nerazvršèenimi predmeti za gospodinjstvo;Retail sale of furniture, lighting equipment and other household articles in specialised stores; G47.59;
3; G47.6;Trgovina na drobno v specializiranih prodajalnah z izdelki za kulturo, šport in zabavo;Retail sale of cultural and recreation goods in specialised stores; G47;
4; G47.61;Trgovina na drobno v specializiranih prodajalnah s knjigami;Retail sale of books in specialised stores; G47.6;
5; G47.610;Trgovina na drobno v specializiranih prodajalnah s knjigami;Retail sale of books in specialised stores; G47.61;
4; G47.62;Trgovina na drobno v specializiranih prodajalnah s èasopisi, revijami, papirjem, pisalnimi potrebšèinami;Retail sale of newspapers and stationery in specialised stores; G47.6;
5; G47.621;Trgovina na drobno v specializiranih prodajalnah s èasopisi in revijami;Retail sale of newspapers in specialised stores; G47.62;
5; G47.622;Trgovina na drobno v specializiranih prodajalnah s papirjem in pisalnimi potrebšèinami;Retail sale of stationery in specialised stores; G47.62;
4; G47.63;Trgovina na drobno v specializiranih prodajalnah z glasbenimi in video zapisi;Retail sale of music and video recordings in specialised stores; G47.6;
5; G47.630;Trgovina na drobno v specializiranih prodajalnah z glasbenimi in video zapisi;Retail sale of music and video recordings in specialised stores; G47.63;
4; G47.64;Trgovina na drobno v specializiranih prodajalnah s športno opremo;Retail sale of sporting equipment in specialised stores; G47.6;
5; G47.640;Trgovina na drobno v specializiranih prodajalnah s športno opremo;Retail sale of sporting equipment in specialised stores; G47.64;
4; G47.65;Trgovina na drobno v specializiranih prodajalnah z igraèami in rekviziti za igre in zabavo;Retail sale of games and toys in specialised stores; G47.6;
5; G47.650;Trgovina na drobno v specializiranih prodajalnah z igraèami in rekviziti za igre in zabavo;Retail sale of games and toys in specialised stores; G47.65;
3; G47.7;Trgovina na drobno v specializiranih prodajalnah z drugimi izdelki;Retail sale of other goods in specialised stores; G47;
4; G47.71;Trgovina na drobno v specializiranih prodajalnah z oblaèili;Retail sale of clothing in specialised stores; G47.7;
5; G47.710;Trgovina na drobno v specializiranih prodajalnah z oblaèili;Retail sale of clothing in specialised stores; G47.71;
4; G47.72;Trgovina na drobno v specializiranih prodajalnah z obutvijo in usnjenimi izdelki;Retail sale of footwear and leather goods in specialised stores; G47.7;
5; G47.720;Trgovina na drobno v specializiranih prodajalnah z obutvijo in usnjenimi izdelki;Retail sale of footwear and leather goods in specialised stores; G47.72;
4; G47.73;Trgovina na drobno v specializiranih prodajalnah s farmacevtskimi izdelki;Dispensing chemist in specialised stores; G47.7;
5; G47.730;Trgovina na drobno v specializiranih prodajalnah s farmacevtskimi izdelki;Dispensing chemist in specialised stores; G47.73;
4; G47.74;Trgovina na drobno v specializiranih prodajalnah z medicinskimi in ortopedskimi pripomoèki;Retail sale of medical and orthopaedic goods in specialised stores; G47.7;
5; G47.740;Trgovina na drobno v specializiranih prodajalnah z medicinskimi in ortopedskimi pripomoèki;Retail sale of medical and orthopaedic goods in specialised stores; G47.74;
4; G47.75;Trgovina na drobno v specializiranih prodajalnah s kozmetiènimi in toaletnimi izdelki;Retail sale of cosmetic and toilet articles in specialised stores; G47.7;
5; G47.750;Trgovina na drobno v specializiranih prodajalnah s kozmetiènimi in toaletnimi izdelki;Retail sale of cosmetic and toilet articles in specialised stores; G47.75;
4; G47.76;Trgovina na drobno v specializiranih prodajalnah s cvetjem, rastlinami, gnojili, hišnimi živalmi in hrano za živali;Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores; G47.7;
5; G47.761;Trgovina na drobno v cvetlièarnah;Retail sale in florist's shops; G47.76;
5; G47.762;Trgovina na drobno v specializiranih prodajalnah z vrtnarsko opremo in hišnimi živalmi;Retail sale of gardening material, pet animals and pet food in specialised stores; G47.76;
4; G47.77;Trgovina na drobno v specializiranih prodajalnah z urami in nakitom;Retail sale of watches and jewellery in specialised stores; G47.7;
5; G47.770;Trgovina na drobno v specializiranih prodajalnah z urami in nakitom;Retail sale of watches and jewellery in specialised stores; G47.77;
4; G47.78;Druga trgovina na drobno v specializiranih prodajalnah z novim blagom;Other retail sale of new goods in specialised stores; G47.7;
5; G47.781;Trgovina na drobno v specializiranih prodajalnah z oèali;Activities of opticians; G47.78;
5; G47.782;Trgovina na drobno v specializiranih prodajalnah z umetniškimi izdelki;Retail sale services of commercial art galleries; G47.78;
5; G47.789;Druga trgovina na drobno v drugih specializiranih prodajalnah;Other retail sale of new goods in specialised stores n.e.c.; G47.78;
4; G47.79;Trgovina na drobno v prodajalnah z rabljenim blagom;Retail sale of second-hand goods in stores; G47.7;
5; G47.790;Trgovina na drobno v prodajalnah z rabljenim blagom;Retail sale of second-hand goods in stores; G47.79;
3; G47.8;Trgovina na drobno na stojnicah in tržnicah;Retail sale via stalls and markets; G47;
4; G47.81;Trgovina na drobno na stojnicah in tržnicah z živili, pijaèami in tobaènimi izdelki;Retail sale via stalls and markets of food, beverages and tobacco products; G47.8;
5; G47.810;Trgovina na drobno na stojnicah in tržnicah z živili, pijaèami in tobaènimi izdelki;Retail sale via stalls and markets of food, beverages and tobacco products; G47.81;
4; G47.82;Trgovina na drobno na stojnicah in tržnicah s tekstilijami in obutvijo;Retail sale via stalls and markets of textiles, clothing and footwear; G47.8;
5; G47.820;Trgovina na drobno na stojnicah in tržnicah s tekstilijami in obutvijo;Retail sale via stalls and markets of textiles, clothing and footwear; G47.82;
4; G47.89;Trgovina na drobno na stojnicah in tržnicah z drugim blagom;Retail sale via stalls and markets of other goods; G47.8;
5; G47.890;Trgovina na drobno na stojnicah in tržnicah z drugim blagom;Retail sale via stalls and markets of other goods; G47.89;
3; G47.9;Trgovina na drobno zunaj prodajaln, stojnic in tržnic;Retail trade not in stores, stalls or markets; G47;
4; G47.91;Trgovina na drobno po pošti ali po internetu;Retail sale via mail order houses or via Internet; G47.9;
5; G47.910;Trgovina na drobno po pošti ali po internetu;Retail sale via mail order houses or via Internet; G47.91;
4; G47.99;Druga trgovina na drobno zunaj prodajaln, stojnic in tržnic;Other retail sale not in stores, stalls or markets; G47.9;
5; G47.990;Druga trgovina na drobno zunaj prodajaln, stojnic in tržnic;Other retail sale not in stores, stalls or markets; G47.99;
1; H;PROMET IN SKLADIŠÈENJE;TRANSPORTATION AND STORAGE; ;
2; H49;Kopenski promet, cevovodni transport;Land transport and transport via pipelines; H;
3; H49.1;Železniški potniški promet;Passenger rail transport, interurban; H49;
4; H49.10;Železniški potniški promet;Passenger rail transport, interurban; H49.1;
5; H49.100;Železniški potniški promet;Passenger rail transport, interurban; H49.10;
3; H49.2;Železniški tovorni promet;Freight rail transport; H49;
4; H49.20;Železniški tovorni promet;Freight rail transport; H49.2;
5; H49.200;Železniški tovorni promet;Freight rail transport; H49.20;
3; H49.3;Drug kopenski potniški promet;Other passenger land transport; H49;
4; H49.31;Mestni in primestni kopenski potniški promet;Urban and suburban passenger land transport; H49.3;
5; H49.310;Mestni in primestni kopenski potniški promet;Urban and suburban passenger land transport; H49.31;
4; H49.32;Obratovanje taksijev;Taxi operation; H49.3;
